company_id,year,calculated_opm,source_opm,difference
ADANIENSOL,Mar 2024,34.39,30.0,4.39
AXISBANK,Mar 2013,30.58,1353.0,1322.42
AXISBANK,Mar 2014,31.47,2307.0,2275.53
AXISBANK,Mar 2015,31.36,3097.0,3065.64
AXISBANK,Mar 2016,32.61,3466.0,3433.39
AXISBANK,Mar 2017,53.45,-5715.0,5768.45
AXISBANK,Mar 2018,63.12,-10277.0,10340.12
AXISBANK,Mar 2019,49.39,-5447.0,5496.39
AXISBANK,Mar 2020,55.98,-9859.0,9914.98
AXISBANK,Mar 2021,50.12,-2510.0,2560.12
AXISBANK,Mar 2022,44.47,3170.0,3125.53
AXISBANK,Mar 2023,34.16,13857.0,13822.84
AXISBANK,Mar 2024,34.69,11952.0,11917.31
AXISBANK,TTM,36.94,9061.0,9024.06
BAJFINANCE,Mar 2015,32.49,1367.0,1334.51
BAJFINANCE,Mar 2016,32.25,1986.0,1953.75
BAJFINANCE,Mar 2017,32.6,2867.0,2834.4
BAJFINANCE,Mar 2018,32.28,3935.0,3902.72
BAJFINANCE,Mar 2019,29.5,6310.0,6280.5
BAJFINANCE,Mar 2020,34.73,7608.0,7573.27
BAJFINANCE,Mar 2021,40.64,6314.0,6273.36
BAJFINANCE,Mar 2022,37.55,9906.0,9868.45
BAJFINANCE,Mar 2023,30.65,16018.0,15987.35
BAJFINANCE,Mar 2024,29.29,19987.0,19957.71
BAJFINANCE,TTM,30.42,21417.0,21386.58
BANKBARODA,Mar 2013,30.05,1006.0,975.95
BANKBARODA,Mar 2014,29.78,809.0,779.22
BANKBARODA,Mar 2015,29.98,902.0,872.02
BANKBARODA,Mar 2016,55.44,-11700.0,11755.44
BANKBARODA,Mar 2017,43.28,-4372.0,4415.28
BANKBARODA,Mar 2018,56.65,-9197.0,9253.65
BANKBARODA,Mar 2019,48.79,-5414.0,5462.79
BANKBARODA,Mar 2020,51.44,-11728.0,11779.44
BANKBARODA,Mar 2021,51.23,-6957.0,7008.23
BANKBARODA,Mar 2022,51.12,-2948.0,2999.12
BANKBARODA,Mar 2023,40.45,6329.0,6288.55
BANKBARODA,Mar 2024,37.49,4102.0,4064.51
BANKBARODA,TTM,37.42,3526.0,3488.58
CANBK,Mar 2013,21.18,655.0,633.82
CANBK,Mar 2014,24.35,-672.0,696.35
CANBK,Mar 2015,23.51,-621.0,644.51
CANBK,Mar 2016,40.38,-8008.0,8048.38
CANBK,Mar 2017,37.85,-5775.0,5812.85
CANBK,Mar 2018,61.87,-13350.0,13411.87
CANBK,Mar 2019,56.73,-11590.0,11646.73
CANBK,Mar 2020,53.88,-12867.0,12920.88
CANBK,Mar 2021,61.83,-18367.0,18428.83
CANBK,Mar 2022,58.39,-13657.0,13715.39
CANBK,Mar 2023,49.8,-9877.0,9926.8
CANBK,Mar 2024,41.75,-7745.0,7786.75
CANBK,TTM,40.23,-8985.0,9025.23
CHOLAFIN,Mar 2013,26.77,472.0,445.23
CHOLAFIN,Mar 2014,28.42,578.0,549.58
CHOLAFIN,Mar 2015,28.56,696.0,667.44
CHOLAFIN,Mar 2016,30.04,899.0,868.96
CHOLAFIN,Mar 2017,28.16,1143.0,1114.84
CHOLAFIN,Mar 2018,26.1,1451.0,1424.9
